# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	328
#@/user_id	441ddf59-dd76-4272-9cbf-705f2feb15bd
a 	啊	c=2 d=0.501902 t=328
pei zhi 	配置	c=5 d=2.58028 t=328
pin yin 	拼音	c=1 d=0.985112 t=328
ping tai 	平臺	c=1 d=0.433874 t=328
ping wen 	平穩	c=1 d=0.465334 t=328
qi zhong 	其中	c=1 d=0.579842 t=328
qiang 	強	c=1 d=0.923116 t=328
qing dao 	青島	c=8 d=3.13673 t=328
qing dao ke ji da 	青島科技大	c=1 d=0.865022 t=328
qing dao ke ji da xue 	青島科技大學	c=1 d=0.562705 t=328
qing qiu 	請求	c=1 d=0.396531 t=328
ri chang 	日常	c=1 d=0.421052 t=328
ru guo 	如果	c=1 d=0.582748 t=328
ru zhi 	入職	c=1 d=0.625002 t=328
sai 	賽	c=1 d=0.782705 t=328
san qi 	三七	c=1 d=0.67032 t=328
shang 	上	c=1 d=0.390628 t=328
shao dai 	捎帶	c=2 d=0.451874 t=328
shao shu ren 	少數人	c=1 d=0.960789 t=328
shen me 	什麼	c=1 d=0.494109 t=328
sheng huo 	生活	c=1 d=0.229925 t=328
sheng xiao 	生效	c=1 d=0.22091 t=328
shi 	仕	c=1 d=0.918512 t=328
shi 	是	c=3 d=1.93289 t=328
shi bai 	失敗	c=1 d=0.29523 t=328
shi xi 	實習	c=6 d=2.83145 t=328
shi xian 	實現	c=2 d=0.688217 t=328
shi yong 	使用	c=5 d=2.7391 t=328
shi yong na ge 	使用那個	c=1 d=0.299692 t=328
shu 	數	c=1 d=0.697676 t=328
shu chu 	輸出	c=1 d=0.273898 t=328
shu ju 	數據	c=1 d=0.400517 t=328
shu ru 	輸入	c=1 d=0.254107 t=328
shu ru fa 	輸入法	c=3 d=1.96908 t=328
shu zi 	數字	c=1 d=0.718924 t=328
shu zu 	數組	c=1 d=0.235746 t=328
shuang yue 	雙月	c=1 d=0.980199 t=328
shuo 	碩	c=1 d=0.228779 t=328
si da jie kong 	四大皆空	c=0 d=0.0251579 t=328
si da jie kong fu jin 	四大皆空附近	c=1 d=0.25284 t=328
si kao 	思考	c=0 d=0.0256661 t=328
si kao diao jie fa 	思考調節閥	c=1 d=0.257947 t=328
sou gou 	搜狗	c=1 d=0.822835 t=328
teng xun 	騰訊	c=0 d=0.0257947 t=328
teng xun yun 	騰訊暈	c=1 d=0.25924 t=328
ti chu 	提出	c=2 d=1.21916 t=328
tian jia 	添加	c=1 d=0.937067 t=328
tian ti 	天梯	c=1 d=0.778801 t=328
tiao dong 	跳動	c=1 d=0.904837 t=328
tong shi 	同時	c=3 d=1.12414 t=328
tu xing jie mian 	圖形界面	c=1 d=0.239309 t=328
tui 	推	c=1 d=0.319819 t=328
tui chu 	退出	c=2 d=0.543704 t=328
